Filename,BIC,Cell Counts
Diacetyl_10e-5_Worm2_Buffer_batch_0,5,67
Diacetyl_10e-5_Worm2_Buffer_batch_1,5,67
IAA_10e-6_Worm3_Buffer_batch_0,5,89
IAA_10e-6_Worm3_Buffer_batch_1,6,89
NaCl_200mM_Worm3_Buffer_batch_0,4,39
NaCl_200mM_Worm3_Buffer_batch_1,4,39
Benzaldehyde_10e-3_Worm2_Buffer_batch_0,4,41
Benzaldehyde_10e-3_Worm2_Buffer_batch_1,4,41
x2nonanone_10e-4_Worm2_Buffer_batch_0,4,67
x2nonanone_10e-4_Worm2_Buffer_batch_1,4,67
Diacetyl_10e-7_Worm3_Buffer_batch_0,4,51
Diacetyl_10e-7_Worm3_Buffer_batch_1,5,51
IAA_10e-4_Worm2_Buffer_batch_0,5,67
IAA_10e-4_Worm2_Buffer_batch_1,5,67
x2nonanone_10e-2_Worm3_Buffer_batch_0,5,40
x2nonanone_10e-2_Worm3_Buffer_batch_1,4,40
NaCl_600mM_Worm1_Buffer_batch_0,5,74
NaCl_600mM_Worm1_Buffer_batch_1,4,74
IAA_10e-6_Worm1_Buffer_batch_0,5,58
IAA_10e-6_Worm1_Buffer_batch_1,5,58
Benzaldehyde_10e-6_Worm2_Buffer_batch_0,4,74
Benzaldehyde_10e-6_Worm2_Buffer_batch_1,4,74
NaCl_200mM_Worm1_Buffer_batch_0,6,73
NaCl_200mM_Worm1_Buffer_batch_1,6,73
NaCl_600mM_Worm3_Buffer_batch_0,4,44
NaCl_600mM_Worm3_Buffer_batch_1,3,44
Diacetyl_10e-7_Worm1_Buffer_batch_0,3,28
Diacetyl_10e-7_Worm1_Buffer_batch_1,3,28
x2nonanone_10e-2_Worm1_Buffer_batch_0,4,80
x2nonanone_10e-2_Worm1_Buffer_batch_1,4,80
NaCl_200mM_Worm2_Buffer_batch_0,6,54
NaCl_200mM_Worm2_Buffer_batch_1,6,54
Benzaldehyde_10e-3_Worm3_Buffer_batch_0,5,80
Benzaldehyde_10e-3_Worm3_Buffer_batch_1,6,80
x2nonanone_10e-4_Worm3_Buffer_batch_0,6,73
x2nonanone_10e-4_Worm3_Buffer_batch_1,5,73
Diacetyl_10e-7_Worm2_Buffer_batch_0,3,26
Diacetyl_10e-7_Worm2_Buffer_batch_1,4,26
x2nonanone_10e-2_Worm2_Buffer_batch_0,4,70
x2nonanone_10e-2_Worm2_Buffer_batch_1,5,70
IAA_10e-4_Worm3_Buffer_batch_0,6,62
IAA_10e-4_Worm3_Buffer_batch_1,5,62
Diacetyl_10e-5_Worm3_Buffer_batch_0,4,24
Diacetyl_10e-5_Worm3_Buffer_batch_1,3,24
IAA_10e-6_Worm2_Buffer_batch_0,4,48
IAA_10e-6_Worm2_Buffer_batch_1,4,48
Benzaldehyde_10e-6_Worm1_Buffer_batch_0,4,53
Benzaldehyde_10e-6_Worm1_Buffer_batch_1,4,53
Benzaldehyde_10e-3_Worm1_Buffer_batch_0,5,61
Benzaldehyde_10e-3_Worm1_Buffer_batch_1,5,61
NaCl_600mM_Worm2_Buffer_batch_0,4,43
NaCl_600mM_Worm2_Buffer_batch_1,4,43
x2nonanone_10e-4_Worm1_Buffer_batch_0,7,84
x2nonanone_10e-4_Worm1_Buffer_batch_1,7,84
IAA_10e-4_Worm1_Buffer_batch_0,4,30
IAA_10e-4_Worm1_Buffer_batch_1,3,30
Diacetyl_10e-5_Worm1_Buffer_batch_0,5,55
Diacetyl_10e-5_Worm1_Buffer_batch_1,5,55
Benzaldehyde_10e-6_Worm3_Buffer_batch_0,4,28
Benzaldehyde_10e-6_Worm3_Buffer_batch_1,3,28
