Filename,BIC,Cell Counts
Diacetyl_10e-5_Worm2_Buffer_batch_0,6,130
Diacetyl_10e-5_Worm2_Buffer_batch_1,7,130
Diacetyl_10e-5_Worm2_Buffer_batch_2,5,130
Diacetyl_10e-5_Worm2_Buffer_batch_3,7,130
IAA_10e-6_Worm3_Buffer_batch_0,7,130
IAA_10e-6_Worm3_Buffer_batch_1,6,130
IAA_10e-6_Worm3_Buffer_batch_2,7,130
IAA_10e-6_Worm3_Buffer_batch_3,7,130
NaCl_200mM_Worm3_Buffer_batch_0,8,130
NaCl_200mM_Worm3_Buffer_batch_1,6,130
NaCl_200mM_Worm3_Buffer_batch_2,6,130
NaCl_200mM_Worm3_Buffer_batch_3,7,130
Benzaldehyde_10e-3_Worm2_Buffer_batch_0,8,130
Benzaldehyde_10e-3_Worm2_Buffer_batch_1,7,130
Benzaldehyde_10e-3_Worm2_Buffer_batch_2,9,130
Benzaldehyde_10e-3_Worm2_Buffer_batch_3,9,130
x2nonanone_10e-4_Worm2_Buffer_batch_0,7,130
x2nonanone_10e-4_Worm2_Buffer_batch_1,6,130
x2nonanone_10e-4_Worm2_Buffer_batch_2,5,130
x2nonanone_10e-4_Worm2_Buffer_batch_3,6,130
Diacetyl_10e-7_Worm3_Buffer_batch_0,6,130
Diacetyl_10e-7_Worm3_Buffer_batch_1,6,130
Diacetyl_10e-7_Worm3_Buffer_batch_2,7,130
Diacetyl_10e-7_Worm3_Buffer_batch_3,5,130
IAA_10e-4_Worm2_Buffer_batch_0,7,130
IAA_10e-4_Worm2_Buffer_batch_1,6,130
IAA_10e-4_Worm2_Buffer_batch_2,6,130
IAA_10e-4_Worm2_Buffer_batch_3,6,130
x2nonanone_10e-2_Worm3_Buffer_batch_0,8,130
x2nonanone_10e-2_Worm3_Buffer_batch_1,9,130
x2nonanone_10e-2_Worm3_Buffer_batch_2,9,130
x2nonanone_10e-2_Worm3_Buffer_batch_3,9,130
NaCl_600mM_Worm1_Buffer_batch_0,5,130
NaCl_600mM_Worm1_Buffer_batch_1,6,130
NaCl_600mM_Worm1_Buffer_batch_2,7,130
NaCl_600mM_Worm1_Buffer_batch_3,5,130
IAA_10e-6_Worm1_Buffer_batch_0,6,130
IAA_10e-6_Worm1_Buffer_batch_1,5,130
IAA_10e-6_Worm1_Buffer_batch_2,6,130
IAA_10e-6_Worm1_Buffer_batch_3,5,130
Benzaldehyde_10e-6_Worm2_Buffer_batch_0,6,130
Benzaldehyde_10e-6_Worm2_Buffer_batch_1,6,130
Benzaldehyde_10e-6_Worm2_Buffer_batch_2,6,130
Benzaldehyde_10e-6_Worm2_Buffer_batch_3,6,130
NaCl_200mM_Worm1_Buffer_batch_0,6,130
NaCl_200mM_Worm1_Buffer_batch_1,7,130
NaCl_200mM_Worm1_Buffer_batch_2,7,130
NaCl_200mM_Worm1_Buffer_batch_3,6,130
NaCl_600mM_Worm3_Buffer_batch_0,6,130
NaCl_600mM_Worm3_Buffer_batch_1,7,130
NaCl_600mM_Worm3_Buffer_batch_2,7,130
