Filename,BIC,Cell Counts
2nonanone_10e-2_Worm1_Buffer,5,80
Diacetyl_10e-5_Worm2_Buffer,5,67
IAA_10e-6_Worm3_Buffer,6,89
NaCl_200mM_Worm3_Buffer,4,39
Benzaldehyde_10e-3_Worm2_Buffer,4,41
Diacetyl_10e-7_Worm3_Buffer,4,51
IAA_10e-4_Worm2_Buffer,5,67
NaCl_600mM_Worm1_Buffer,6,74
IAA_10e-6_Worm1_Buffer,4,58
2nonanone_10e-4_Worm2_Buffer,4,67
2nonanone_10e-2_Worm3_Buffer,5,40
Benzaldehyde_10e-6_Worm2_Buffer,5,74
NaCl_200mM_Worm1_Buffer,6,73
NaCl_600mM_Worm3_Buffer,4,44
Diacetyl_10e-7_Worm1_Buffer,3,28
NaCl_200mM_Worm2_Buffer,6,54
Benzaldehyde_10e-3_Worm3_Buffer,5,80
Diacetyl_10e-7_Worm2_Buffer,3,26
IAA_10e-4_Worm3_Buffer,5,62
2nonanone_10e-4_Worm1_Buffer,7,84
Diacetyl_10e-5_Worm3_Buffer,3,24
IAA_10e-6_Worm2_Buffer,5,48
Benzaldehyde_10e-6_Worm1_Buffer,4,53
Benzaldehyde_10e-3_Worm1_Buffer,5,61
NaCl_600mM_Worm2_Buffer,3,43
IAA_10e-4_Worm1_Buffer,4,30
Diacetyl_10e-5_Worm1_Buffer,4,55
2nonanone_10e-4_Worm3_Buffer,5,73
2nonanone_10e-2_Worm2_Buffer,4,70
Benzaldehyde_10e-6_Worm3_Buffer,4,28
